mouse1	mouse2	mouse3
  5.2658	  4.3973	  7.5146
  4.5361	  5.0929	  4.6203
  1.2016	  6.1496	  5.4584
  2.8044	  5.1262	  1.6406
 11.7379	  1.8572	  4.5229
  9.2727	  3.7339	  4.8587
  5.0472	  7.6400	  2.8293
  7.3448	  5.7051	  1.9729
  3.0977	  2.9087	  6.5524
  4.7396	  8.9104	  2.3320
  2.3616	  5.9718	  6.5695
  1.7015	  4.9146	  2.5190
  3.5473	  6.7995	  7.3145
  7.4227	  1.1735	  2.2329
  3.2419	  4.3625	  2.6434
  9.6923	  5.3987	  1.3171
  5.5291	  6.9775	 19.5358
  1.9188	  5.3497	  3.2359
  4.1567	  2.9318	  5.2134
  6.4091	  5.6935	  6.7423
 13.4226	  4.2355	  8.7755
  6.2533	  8.2102	  4.3012
  5.7075	  7.7454	 11.9589
  5.2911	  3.6823	  2.7819
 11.5867	  3.7091	  4.8812
  3.3817	  3.2777	  2.2768
  4.2824	  1.4322	  6.7474
  8.3729	  2.0448	  3.7019
  2.9593	  5.9067	  1.1479
  2.6703	  3.8282	  0.8876
  6.3012	  6.5783	  1.5519
  7.0605	  1.8231	  2.0290
  2.7986	  2.4099	 13.6413
  4.1347	  3.8870	  1.6393
  1.8325	  3.1130	 10.0299
  4.4096	  8.2368	  4.4997
  2.2701	  3.7552	  3.3820
  3.2673	  7.2234	  3.2523
  5.5945	  8.6398	  2.7000
  6.1474	  5.0122	  9.7824
  4.3531	  4.6148	  4.0766
  5.3914	  2.6555	  5.4309
  4.2820	  2.3977	  5.0506
  7.3478	  7.4616	 12.5636
  5.8388	  3.5861	  3.3177
  2.6107	  1.4879	  3.2489
  3.3901	  4.3803	  6.8198
  2.2116	  7.6018	  3.2732
  2.6077	  3.7273	 10.6735
  2.1433	  5.7110	  8.6579
  1.4014	  4.7384	  5.1181
  4.1425	  4.5839	  2.1880
  3.8316	  3.1758	  7.1954
  4.4897	  6.0295	  5.7548
  7.7117	  3.3216	  1.5376
  1.0154	  2.0094	  4.5223
  9.9068	  6.0578	  4.3727
  6.5998	  1.0092	  2.6440
 16.7124	  1.7451	  3.7224
  1.8362	  1.7469	  0.6145
  7.5477	  3.6894	  5.4688
  4.5952	  0.7463	 10.7458
  3.0169	  2.2059	  4.7006
  2.0406	  2.7968	  4.5999
  3.5210	  2.4897	  6.9133
  2.9678	  6.1189	  3.4218
  2.3670	  1.8531	  5.5146
  4.5708	  4.5248	  5.5791
  5.1923	  3.1891	  2.1625
  9.7448	  5.4714	  8.3257
  2.4400	  3.4865	  6.5349
  3.0707	  3.6853	  6.0783
  2.5978	  6.2988	  7.1433
  5.0081	  0.6903	  3.5735
  4.4274	  3.7916	  3.4495
  4.2580	  2.0631	  8.3887
  2.8926	  2.6668	 13.0598
  3.9864	  2.1626	  2.3224
  7.5196	  2.2236	  2.3754
  3.5063	  7.2554	  6.8438
  3.1618	  2.9479	  2.6999
  1.8751	  1.9290	  3.9299
  2.5372	  9.4824	  2.0786
  5.2625	  1.8402	  3.7705
  2.9206	  3.8932	  1.3286
  4.0141	  4.2219	  2.5062
  6.0380	  8.6056	  6.7452
  4.4738	  4.4026	  1.9194
  6.2606	  2.0177	  4.1657
  4.1915	 12.5092	  3.4681
 15.2087	  6.2003	  3.0045
  7.8485	  4.2210	  5.8473
  2.3257	  0.8866	  4.5710
  5.3416	  4.0445	  2.5504
  6.7465	  2.7071	  1.4245
  3.1935	  4.7620	  5.5743
  2.9997	  5.0415	  5.2821
  2.7555	 10.7824	  3.0853
  3.5861	 10.4881	 10.5225
  5.0182	  7.9857	  1.9768
 10.9866	  7.4762	  3.3414
  4.4750	  3.9752	 11.4733
  6.0365	  4.2527	  3.9968
  6.1269	  4.3966	  2.6266
  5.1763	  2.3876	  6.0295
  3.5368	  4.8581	  7.0477
  1.3342	  3.3835	  4.3168
  3.5844	  6.1629	  4.3764
  5.9660	  5.3310	  4.7354
  3.7393	  7.2363	 11.8037
  8.5946	  4.3150	  6.4006
 14.0722	  3.7466	  5.9858
  4.5047	  3.6092	  3.8637
 10.5223	  4.0612	  5.4400
  9.2713	  7.3735	  4.0766
  2.4171	  4.2810	  1.7759
  1.9890	  2.2399	  6.9345
 13.5014	  4.9587	  5.0252
  3.1556	  3.3172	  3.9995
  6.5124	  1.6971	  3.2384
  1.0684	  2.3754	  2.6682
  5.0799	  5.6580	  1.8568
  8.3952	  5.4541	  1.9517
  6.0104	  2.6531	  2.5932
  8.0222	  3.5162	  3.1409
  4.8310	  3.9426	  5.7495
  2.8988	  1.9113	  3.3202
  2.1270	  6.9327	  1.8702
  3.7794	  6.5121	  2.9496
  2.2505	  5.2838	  3.2450
  2.4014	  4.8494	  2.6671
  4.0541	  4.3723	  3.2849
  2.5410	  5.7265	  5.4656
  3.1118	  1.7182	  6.6762
  4.3003	  2.1690	  4.6935
  5.9533	  6.2638	  2.0471
  1.7477	  6.3688	  6.1860
  6.1899	  9.7472	  2.8785
  6.5849	  4.9740	  3.1624
  2.1385	  2.2717	  5.1210
  4.6443	  1.5103	  7.1915
 11.4773	  7.3781	  2.4379
  3.0370	  1.6153	 12.7830
  9.9580	  4.5645	  8.0049
  5.0522	  7.4369	 14.4821
 11.5864	  7.7350	  2.6797
  6.4435	  2.7838	  1.6954
  2.9695	  2.1071	  8.2797
  8.1006	  3.7501	  6.0534
  6.3175	  5.5097	  4.1201
  3.2125	  4.0348	  1.5726
  9.5885	 11.7939	  4.7100
  5.4981	  2.4884	  5.6917
  3.2631	  3.7443	  7.3631
  1.9323	  9.3122	  3.9987
  2.1541	 16.9337	 10.0799
  1.5528	 10.1616	  2.3810
  0.9860	  4.5026	  4.9873
  5.3467	 10.4654	  4.9651
  7.4407	  6.8004	  9.5453
  2.8420	 12.4672	  7.5386
  2.6808	  1.6211	  5.1622
  7.3154	  4.7334	  9.0703
  3.5792	  7.7552	  7.7970
  3.2855	  1.0792	  3.4527
  6.7496	  3.6396	  3.7914
  8.9086	  5.1905	  4.2276
  1.8897	  6.9126	  4.3729
  1.9090	  5.0889	  6.1029
  6.0584	  5.9832	  5.1673
  4.1071	  2.3688	 12.9833
  3.6154	  4.0022	  4.3746
  4.7172	  3.3409	  6.1650
  7.2074	  2.7832	  4.2929
  1.4328	  1.5105	  8.9792
  7.9281	  4.3545	  4.7090
  3.3664	  5.4845	  6.6367
  4.7509	  5.0744	  1.0936
  5.9108	  5.8466	  6.4960
  2.8344	  2.0308	  0.7344
  4.5403	  2.3464	  5.2329
  1.6710	 11.0397	  3.6123
  6.1403	  4.9034	  3.3004
  2.6565	  7.0652	 14.0373
  1.5500	  3.2406	  3.7031
  1.8549	  1.9762	  3.2215
  3.1611	  3.5647	  3.1589
  5.6042	  2.4109	  4.3071
  5.0543	  2.2293	  2.1304
  4.2415	  3.9846	 10.7515
  1.9822	  2.0347	  3.0046
  4.0404	  3.8308	  5.3027
  2.7190	  6.5219	  2.3642
  5.0288	  4.1228	  4.6755
  5.8872	  1.4876	  4.6202
  2.6467	  5.5469	  6.7797
 14.1409	  3.5500	  3.6978
  2.5838	  3.2583	  4.7123
  3.3696	  2.2262	  3.6377
  2.4570	  3.3811	  4.5073
  4.8021	  2.2574	  4.4462
  6.9032	  6.8056	  9.4302
  2.5777	  9.5380	  3.4505
  8.7317	  5.2613	  7.3789
 10.2770	  3.0811	  4.7556
  1.8864	  0.9853	  6.0018
  3.0824	  8.8817	  7.4355
  4.9616	  3.9714	 11.1942
  7.1933	  3.9132	 10.3662
  5.2141	  4.9263	  3.5757
 10.2288	  4.4467	  4.3942
 13.7272	  2.7322	 11.4731
 19.1058	  8.4046	  1.8333
  1.9560	  5.9825	  2.7413
  3.6529	  6.0886	  1.3283
 12.9304	  4.5491	  2.8054
  6.2748	  4.6724	  1.8201
  4.6148	 11.2750	  3.4483
  2.4157	  5.0140	  2.8618
  4.3890	  3.8966	  5.8594
  1.5191	  4.3089	 12.2251
  4.3615	  6.9863	  5.4445
  5.0473	  2.1541	  5.6809
 10.2450	  3.8450	 11.1342
 13.2496	  3.2260	  7.8408
  3.6492	  7.4966	  5.5929
  3.2483	 10.9834	  2.1903
  2.1431	  3.7334	  2.1931
  4.0154	  7.0414	  2.4991
  2.9297	  3.5690	  9.0983
  1.3223	  4.2437	  2.8549
  7.0664	  2.8073	  7.3404
  2.4621	  2.4979	  6.2310
  9.6213	  6.6605	  2.3706
  3.9444	  3.8118	  3.8840
  4.3186	  1.6816	  5.9639
  2.2850	 14.9235	  3.2519
  1.8235	  1.8427	  3.5707
  4.3217	  5.5949	  7.7366
  1.7013	  4.2524	  4.3945
  8.0547	  2.6285	  6.5828
  3.7571	  3.4377	  2.9169
  3.7606	  4.5797	  3.4866
  5.2023	  8.1786	 10.6294
  5.7604	 12.8170	  6.7897
  1.1251	  3.8381	  2.4495
  2.1924	  2.9017	  4.3544
 10.5001	  3.6758	  1.8713
  2.9726	  3.6698	  3.0242
  4.8680	  1.8727	  3.3673
  2.6054	  3.7300	  4.8264
  5.1565	  2.2209	  5.2697
  1.1437	  7.2462	  5.6221
  3.4158	  7.1357	  3.7853
  3.0856	  7.9159	  3.7223
  6.8865	  4.1001	  3.2775
  3.7979	  1.7076	  6.6618
  2.3749	  4.7276	  2.1726
 11.5695	  5.4410	  1.6383
  6.0657	  5.9089	  2.4966
  6.2282	 11.2983	  4.4256
  1.1701	  2.5139	  7.7221
  4.9365	  3.7664	  6.1441
 13.7262	  2.7875	  3.8261
  5.9309	  6.3383	  2.6947
  2.7719	  5.7266	  1.7726
  3.7903	 13.1881	 27.2712
  4.6658	  3.1026	  5.4932
  6.8645	  3.3060	  3.6334
  6.0904	  3.0814	  2.6419
 11.6605	  4.8721	  5.7675
  2.1518	  2.5618	  3.0263
  8.7413	  4.7414	  3.7402
  4.6254	  1.7781	  2.7172
  7.5801	  9.7305	  5.9418
 12.7711	 11.2508	 10.0105
  6.9162	  1.7392	  4.6224
  2.8558	  3.5784	  2.8560
  2.4328	  1.0560	  2.9012
  5.3175	  2.0974	  1.3989
  2.2295	  4.8490	  1.4934
  4.2230	  1.7173	  3.1570
  2.0457	  2.6218	  1.2034
 12.5343	  1.7872	  5.1151
  4.7098	  2.4128	  6.7478
  3.0685	  2.2132	  1.8149
  4.1926	  4.9462	  2.6290
 10.6500	  7.5705	  6.1227
  5.2335	  3.2691	  4.7896
  2.4819	  1.7566	  7.9431
  6.0762	  8.1012	  2.8545
  1.4779	  2.8285	  2.4178
 11.0358	  1.2929	  3.4600
  3.5460	  5.1599	 10.1177
  1.5946	  2.5681	 11.8065
  4.8711	  6.0473	  8.3826
  1.3696	  0.4621	  4.8921
 10.6243	  7.1176	  3.5243
  1.2760	  3.5208	  7.1398
  2.7779	  6.2298	  2.5733
  4.0449	  3.4854	  3.5477
  3.4610	  5.5980	  5.9587
  1.9614	  6.7972	  3.3947
  2.2690	  9.5050	  7.4430
  1.1123	  2.7818	  2.7405
  4.9155	  5.0557	  1.8928
  2.9685	  5.1359	  2.4578
  3.2001	  2.3854	  5.5272
  2.4716	  4.1877	  1.2434
  1.8923	  7.9852	  2.8868
  2.5865	  3.7435	  2.0030
  2.2289	  5.5345	  6.5116
 29.4820	  7.2531	  5.8931
  5.1958	  6.2549	 12.2048
  1.5061	  4.9695	  5.4812
  4.0692	  2.2611	  4.3176
  3.0416	  3.8376	  3.3888
  1.6939	  1.0812	  8.5972
  2.8529	  6.5839	  1.0534
  1.9985	  4.6738	  1.7016
  5.5065	  1.6195	  1.8146
  1.2818	  3.3115	  4.5517
  1.3055	  2.2964	  1.8474
  6.4021	  3.4026	  7.4472
  3.6324	  3.9730	  4.8045
  2.4816	  3.1130	  2.4476
  5.2581	  3.0307	  3.3751
  5.1913	  5.1204	  2.5489
  1.6798	  2.5026	  1.7677
  3.0135	  5.0458	  8.0432
  3.6129	  4.3167	 13.0522
  4.1500	  7.0277	  3.5844
  2.7010	  3.1301	 10.0614
  6.3057	  2.5987	  6.2885
  5.5668	  5.4542	  2.3897
  7.1787	  4.5611	 10.5188
  3.8273	  6.0022	  4.8507
  4.7017	  4.0783	  2.6640
  9.1943	  2.3343	  5.3179
  2.9423	  6.7853	  4.2310
  2.4621	  3.2846	  4.3651
  1.2161	  5.4299	  4.1228
  5.5825	 10.5095	  2.7492
  3.0280	  3.4700	  2.6563
 12.7099	  4.4957	  3.7798
  9.9098	  1.5573	  7.9619
  7.6033	  3.4171	  2.2050
  6.9681	  3.9708	  1.3821
 12.0402	  1.0850	 11.9894
  1.3840	  0.6924	  3.4149
  1.4728	  3.4246	  5.0776
  3.5392	  3.8735	  5.6924
  5.0294	 14.2681	  8.7987
  3.9013	  1.8243	  4.3498
  1.3208	  8.6551	  5.2157
  4.9224	  2.2100	  2.7955
  8.1877	  5.3538	  5.6124
  4.4542	  3.1160	  7.7628
  4.0069	  5.1141	  9.6928
  2.5292	  3.6000	  5.0310
  4.7598	  1.5729	  5.2124
  4.7624	  3.5996	  2.4486
  2.7785	 17.4648	  1.8415
  6.0338	  6.3006	  1.6434
  7.1439	  6.5552	  1.1675
  2.1016	  6.1410	  2.9460
  3.4823	  2.0233	  1.7625
  6.0976	  4.5574	  7.3809
  5.6254	  7.6969	  5.0312
  3.4510	  3.3886	  4.6235
  3.2674	  4.0760	  5.1742
 13.6116	  5.0217	  2.2329
  3.6885	  5.2962	  3.5293
  3.6384	  1.6866	  4.0792
  1.3495	 11.1859	  1.1805
  5.2478	  7.0452	  3.3076
  2.5248	 18.9740	  8.6991
  6.9161	  1.5385	  2.6117
  5.9411	  2.9065	  2.3646
  5.2001	  4.6283	  5.1147
  5.0172	  2.2099	  1.3747
  2.4662	  7.0219	  3.5220
  1.7720	  6.8524	  2.6327
  4.0824	  6.2288	  5.1584
  3.3928	  4.3204	  7.7719
  6.4385	  8.3863	  1.9893
  1.9184	  5.5410	  6.0635
  4.1949	  8.2934	  1.4837
  1.8031	  3.8200	  3.5130
  3.8344	  4.9916	  8.3075
  4.0169	  8.9317	  1.5924
  3.0298	  5.2355	 23.8167
  2.0470	  8.4553	  2.6794
 14.2037	  4.7553	  5.9060
  1.1065	  8.0737	  5.2992
 13.9271	  9.4936	 11.1835
  1.9991	  5.6866	  4.2067
  3.0321	  3.5192	  3.4703
  5.1256	  5.7412	  7.7662
  4.2375	  1.2459	  3.6211
 17.4869	  6.6741	  7.8776
  2.1374	  3.7570	  5.6058
  2.0586	  3.2387	  4.1280
  1.9863	  4.6223	  1.5054
  0.4915	  1.6229	  4.0407
  4.8034	  5.6120	  2.4586
  2.4948	  1.8408	  4.7183
  4.3684	  7.2627	  1.3450
  2.2283	  3.7646	  4.4767
  6.5373	  2.2923	  7.3544
  6.7430	  1.1538	  3.9242
  5.9942	  6.1739	  7.9581
  6.3664	  1.9519	  2.5310
  7.0819	  5.6103	 14.9911
  6.1151	  9.6495	  4.6708
  4.4557	  6.8223	  4.0852
  1.4416	  3.8951	  3.4606
  4.6285	  2.9709	  6.0826
  3.6210	 11.2550	  3.6080
  3.6053	  3.1565	  2.5645
  7.4334	  7.7257	  9.0776
  1.3141	  4.0502	  1.2406
  2.4541	  3.6362	  3.2634
  7.6806	  4.3480	  6.6205
  2.3317	  4.8071	  2.8908
  2.1584	  2.7683	  3.8909
  3.6283	 12.6939	  3.8712
  6.5795	 14.4023	  2.0754
  4.4808	  7.8692	  1.4902
  5.1364	  2.9950	 13.5902
  7.0195	  3.2551	  6.2781
  5.6244	  5.9809	  4.6442
  7.2732	  4.8266	  5.4749
  1.7932	 13.3059	  1.9723
  1.5432	  8.9874	  5.4266
  3.4379	  2.9119	  4.6303
 12.5977	  3.8019	 15.0264
  3.4198	  6.9856	  1.9891
 10.5671	  5.0569	  4.8900
  8.7868	  3.3406	  0.8947
  6.0716	  5.8238	  5.5774
 13.7580	  3.5590	  7.6029
  2.6860	  5.0579	  2.6370
  4.1285	  2.3779	  1.9856
  5.2326	  6.2652	  5.5681
  2.6729	  0.8232	  5.9061
  4.1376	  4.4452	  3.3619
  6.8699	  3.3139	  3.9216
  3.5514	  5.0022	  3.7548
  3.3557	  3.9376	  2.4963
  5.7939	  4.4194	  2.5693
 21.9631	 11.2837	  1.5620
  7.8179	  5.2977	  1.1396
  5.4576	  6.4300	  5.1318
  2.7893	  1.6812	  3.2435
  1.5479	  2.1315	  6.1257
  5.1708	  3.6008	  6.0306
  4.8020	  5.6500	  5.1363
  5.6395	  3.8419	  3.9124
  2.8865	  4.2552	  3.8667
  4.7775	  2.0971	  2.7476
 20.3718	  1.9935	  2.1611
  3.4625	  3.3336	  4.2089
  3.3521	  3.9779	  1.5381
  4.0239	  7.6218	  1.4858
  1.5919	  2.1094	  2.6620
  2.7046	  3.6215	  4.4073
  7.6292	  5.9838	  5.8085
  4.9546	  3.1115	  2.6936
  5.1356	  5.8929	  5.7785
  9.1957	  2.5697	  8.2179
  5.6502	  1.9430	  6.0544
  4.4112	  2.8624	  1.6627
 13.2788	  5.3607	  4.6991
  3.9775	  3.9240	  9.4353
  1.5882	  4.4156	  9.4919
  2.7096	  5.1821	  8.8776
  4.2454	 11.8114	  2.2179
  3.2508	  3.4131	 10.6791
 15.3995	 10.6521	  5.1910
  3.5095	  2.7263	  3.8668
  3.1885	  2.8561	  9.0255
  4.6875	  2.2839	  2.0936
  3.7924	  3.9854	  5.5403
  6.5856	  6.2003	  2.4478
  2.3633	  2.4161	  0.6627
  2.0831	  7.2897	  2.9412
  2.4850	 11.1603	  3.0803
  5.6840	  5.4726	  1.6603
  1.8409	  4.0547	  7.0152
 18.5215	  2.5623	  6.4172
 12.8881	  3.7053	  5.6532
  3.5718	  1.7550	  3.9409
  5.1563	  1.7136	  6.9371
  8.1048	 13.0144	  3.8985
  4.3165	  5.5450	  6.3453
  2.2285	  9.6259	  5.9561
  3.4110	 12.0072	  4.3748
  3.8096	  2.4670	  5.4434
  0.9637	  8.5723	  2.8574
  8.9604	  3.6136	  3.2567
  5.2729	  5.0293	  8.4236
  4.7890	 10.8002	  3.8761
  4.6347	  3.5177	 11.1506
  1.7080	  5.4239	  2.8710
  4.0388	  5.5474	  8.0679
  4.1925	  4.7482	  2.4465
  4.6185	  3.1050	  4.2136
  8.4288	  2.3235	 13.8135
  3.5393	  9.3372	  2.1559
  9.8342	 10.8191	  5.4957
  1.8665	  5.9632	  3.6669
  3.9489	  2.0195	  4.0230
  1.9072	  1.9136	  4.1580
  1.9141	  6.6866	  0.8518
  2.1704	  6.0801	  4.7580
  4.9630	  4.8650	  8.9971
  8.5588	  4.7103	  4.2008
  4.6974	  2.8758	  1.3992
  3.3350	  8.1172	  6.4847
  1.7841	  4.7380	  3.5518
  1.4557	 11.3292	  1.6786
  6.8843	 16.5211	  8.3539
  4.8638	  3.0963	  2.5959
  5.4168	  4.3426	  3.7132
  2.3526	  2.5613	 13.8518
  4.2265	  3.2514	  6.7139
  1.0649	  8.7733	  7.5262
  4.0129	  2.7123	  3.6347
  7.4937	  5.5248	  5.5985
  2.7688	 13.1631	  2.2272
  4.9219	  1.5027	 10.5775
  5.4619	  4.5347	  3.5658
  3.9758	  4.7082	  2.1437
  1.9276	  7.0832	  4.1591
  2.6216	 10.2479	  7.4633
  7.9255	  6.4594	  2.2381
  7.5903	  5.1038	  1.2074
 10.6700	  4.7813	  2.7843
  3.1458	  7.0324	  3.7010
  5.4424	 12.1846	 16.6961
  6.1283	  2.0353	  3.5610
  2.4977	  1.8600	  6.8805
  2.3839	 12.8253	  1.9929
  3.9683	  1.8089	  4.8298
  2.9309	  4.7087	  5.5948
  5.7418	  7.8701	  9.2771
  2.9345	  1.6757	  3.6910
  2.4042	  5.8951	 12.5001
  4.2678	  4.1453	  3.3051
 10.0367	  6.3831	  8.8203
  9.6173	  9.2727	  1.7572
  6.0643	 15.3039	  2.1225
  8.2200	  1.3394	  2.7710
  4.4407	  3.0053	  3.7485
  5.5958	  5.1966	  4.5992
  9.8552	 12.7228	  1.5083
  3.7118	 13.0498	  5.6467
  2.6689	  2.7340	  9.2485
 10.6234	 17.2954	  2.3197
  4.5368	  1.9387	  7.6186
  3.1050	  3.8893	  1.6019
 14.8632	  3.9243	  9.1821
  2.1827	  7.8292	  3.7360
  4.5018	  4.3916	 11.6002
 11.9209	  4.9987	  4.5112
  5.1464	  5.2126	  3.0421
  2.1779	  4.3154	  2.9496
  4.0221	  5.0864	  5.2682
  1.7539	  7.0647	  2.3211
  2.6113	  2.7370	  3.4090
  1.6454	  1.9776	  4.4285
  5.4436	 18.9457	  9.5322
 10.0858	  1.0130	  1.9314
  9.3548	  4.1849	  4.7092
  5.7697	  6.7351	 10.0879
  3.8292	  7.6120	 13.9516
  5.9766	  3.2488	  4.2387
  2.5681	  6.9820	  2.4037
  2.5526	  6.8103	  1.9898
  2.0004	  2.5039	  7.1992
  8.9716	 15.6871	  2.0710
  1.7666	  4.5005	 10.6813
  2.7253	  4.4315	  1.4463
  2.1979	  5.5890	  2.0554
  4.5265	 10.2249	  4.9243
  5.2899	  4.5741	  8.1860
  7.6601	  6.3007	 10.9993
  4.2024	  6.0136	  3.5799
  5.5732	  3.2719	  2.1114
 13.6289	  1.3564	  2.1614
  4.2519	  4.2691	  4.7835
  2.6450	  1.9675	  3.1583
  6.9693	  5.7129	  5.0484
  3.6127	  7.7389	  2.6284
  3.4837	  2.7454	  5.1138
  2.5648	  3.6966	 14.6094
  2.9435	  3.1913	  4.6927
  8.8552	  1.7238	  7.7171
  4.8055	  2.9317	  3.0556
  4.0166	  7.3469	  5.8688
  4.1809	  4.0320	  3.9597
  1.7012	  3.7882	  3.9615
  6.2466	  4.1063	  4.5405
  5.9494	  7.2893	  5.1853
  7.9828	  5.7784	  2.5639
  3.7868	  2.7159	  1.3110
  1.8765	  3.9377	  4.3228
  5.7454	  3.9412	  6.5743
  1.4510	  4.0239	  2.8794
  6.5497	  4.3121	  5.8177
  3.7810	  2.4664	  2.0001
  9.6515	  2.4122	  4.3296
  7.4006	  1.1986	  2.8462
  2.7884	  2.4777	  3.6233
  2.0449	  1.3118	  6.6106
  4.7175	  0.8575	  5.6708
  4.9128	  6.6239	  2.0124
  3.0189	  2.1742	  2.7332
  7.9574	  4.2488	  3.1859
  8.1550	 15.6903	  5.7831
  4.6985	  4.7309	  6.5204
  6.0038	  4.4964	  1.9713
  3.2319	  5.2768	  0.9251
  5.4874	  3.4938	  6.3788
  3.2838	  4.8006	  5.5829
  4.5116	 10.4505	  5.2820
  2.8446	  6.3528	  0.9318
  3.9829	  2.5522	 17.4526
  5.9903	  1.9070	  1.9799
  2.5254	  3.1740	  2.3836
  3.5211	  7.3755	  8.5893
  1.1549	  4.5503	  3.4147
  8.7372	  2.6010	 13.3525
 12.6095	  6.3252	  5.7630
  2.0734	 10.9149	  1.4051
 13.3104	  5.9758	  2.3013
  5.9673	  1.6890	 17.8513
  5.5468	  3.6449	  6.9871
 11.8263	  6.0568	  5.5157
  5.9362	  6.2279	  6.5712
  5.8791	  5.1162	  3.5939
  3.1086	  9.9740	  1.8490
  1.7662	  2.6685	  3.3287
  2.4844	  1.7296	  5.3436
 11.0249	  5.1786	  1.3178
  4.9961	  4.3607	  9.5064
  3.7907	  9.4403	  3.9518
  2.4549	  8.6304	  5.8235
  1.9651	  1.9370	  1.9482
  5.7231	  3.3486	  7.0431
  4.0404	  4.5898	 10.4658
 14.5849	 10.7860	  2.8615
  5.2961	 10.4760	 15.2201
  3.4387	  2.7591	  2.6201
  6.9731	  7.7205	  1.6237
  3.5661	  1.8871	 13.8909
  3.2612	  5.0454	  1.5185
  3.9321	  6.2713	  2.4941
  2.4933	  6.8503	  2.5269
  6.4041	 14.8343	  3.0826
  2.9203	  4.7415	  3.0011
  5.8151	 12.8281	  2.5930
  3.1724	  4.8109	 12.4302
  2.1358	  5.9808	  4.0488
  2.8249	  3.8647	  2.7468
 15.3147	  3.0453	  5.6680
  3.3406	  4.0515	 10.0458
  3.9222	  1.5037	  8.2179
  9.1511	  2.6447	  6.0861
  4.1371	  6.8626	  5.2939
  8.0182	  4.7666	  2.7864
  1.4546	  1.4206	  2.5392
  6.3678	  3.8318	  2.6074
  9.7652	  4.1739	  4.5590
  1.4338	  4.9186	  3.6604
  4.6991	  2.1541	  5.7261
  3.3490	  4.4406	  4.0382
  5.3952	 11.6156	  1.9048
  5.9065	  2.4503	  1.2351
 11.6814	  7.2939	  3.2295
  2.3451	  3.1263	  5.2227
  5.8289	  6.0352	  4.8153
  7.5391	  3.1036	  3.9509
  2.8122	  1.9601	  5.3499
  4.7231	  2.4734	  5.9510
  9.1189	  5.3157	  6.5011
 21.1558	  3.3731	  2.3373
  2.3436	  5.4552	  6.2147
  1.2399	  3.3331	  1.4423
 13.7770	  4.7545	  1.6809
  4.0825	 12.3127	  4.9393
  2.6504	  4.2370	  5.7913
  3.8297	  7.5149	  1.1086
  2.7482	  6.2246	  5.1217
  7.7556	  3.5787	  3.6598
  1.7015	  2.5952	  4.1754
  6.8678	  4.6182	  5.1021
  4.4252	  6.5039	  2.6371
  4.3012	  1.1881	  3.8925
  4.0957	  2.9888	  2.1893
  3.0718	  2.0657	  5.1118
  6.4195	  2.7328	  2.1516
  1.8826	  6.8564	  8.0801
  1.9337	  5.3440	  7.1875
  3.6614	  4.7618	  4.9061
  3.5489	  6.5195	  1.5273
 10.7335	  2.9662	  1.5361
  3.3211	  6.1060	  2.1408
 10.5948	 13.1503	  5.3868
  1.8612	  4.5046	  6.4040
 11.4633	  4.3542	  4.1043
  4.8634	  4.1052	  1.5279
  4.6894	  4.4124	  1.8820
  2.7654	  4.0125	  3.8205
